Name_val,Cost_AllPriorYears_Quantity_val,Cost_AllPriorYears_TotalCost_val,Cost_PriorYear_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneOCO_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFive_Quantity_val,Cost_BudgetYearFive_TotalCost_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Air Force Active","0","32.331","0","0.000","0","0.000","0","4.038","0","0.000","0","4.038","0","5.006","0","6.477","0","6.63","0","7.776","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","322949cf2d0d36a65fa93b3511c8ec4b98c8c7d018be1d596ecc879710fd4f47","0-5e9e58046f7187dae9db0ccc29c78b6c8172531cc14738571330dcb789fdd3a7","0-4c5ecb3c95d47ae7734c5b6288f646aaee0ad652ca1216bf99f06134dd0bbd61","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item"
"Air Force Active","0","92.446","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.14","0","0.1","0","0.06","0","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","322949cf2d0d36a65fa93b3511c8ec4b98c8c7d018be1d596ecc879710fd4f47","0-7e24d9c420126cb82baf26fb4a0d371495d1c00c9cf4eee45eb8ddfa32ec7cfa","1-eaba8b9cbda27125410b30da46b23972690c3a6869b5bde8ab5afb02e4d9666b","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item"
"Air Force Active","13","530.378","0","8.315","0","1.21","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","322949cf2d0d36a65fa93b3511c8ec4b98c8c7d018be1d596ecc879710fd4f47","0-0729300078cecdcc6c366c53c05822e87fb0487308073950d71193fc9d6ebc87","2-bd3759c1a5028e7b269fe2b365ace601d0ebbb8eaad7ff78ed1c5993235b7b49","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item"
"Air Force Active","0","30.135","0","16.12","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","322949cf2d0d36a65fa93b3511c8ec4b98c8c7d018be1d596ecc879710fd4f47","0-a40e4cc0b533f4255d77fdd2df6345dcddf2a5e4e2ea8bdde276ede3eae1dc13","3-be7ae9ff2d69aa965e0f07a0b0329cda6401fe6cfee95865041dbb770a944867","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item"
"Air Force Active","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","322949cf2d0d36a65fa93b3511c8ec4b98c8c7d018be1d596ecc879710fd4f47","0-267a721a37e176476f840e9bddaef6f5af52b87b4b096d038f412bdb4da792fe","4-c32847cc58de94f5b5918fd3d8ae05268a3741c6604f48889d75f542bc619e84","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item"
"Air Force Active","0","0.000","0","0.000","0","0.304","0","2.895","0","0.000","0","2.895","0","4.089","0","4.659","0","4.74","0","4.901","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","322949cf2d0d36a65fa93b3511c8ec4b98c8c7d018be1d596ecc879710fd4f47","0-70db650b71f06acc1e83a7ab0e294b004ecc47e9d4ecb8c5e06ba473be259927","5-29384339a347928217782a24423bd6481ee95e34635fdd898d5f56b4240d3846","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item"
"Air Force Active","0","0.000","0","0.000","0","0.000","0","0.516","0","0.000","0","0.516","0","0.901","0","1.23","0","1.43","0","1.92","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","322949cf2d0d36a65fa93b3511c8ec4b98c8c7d018be1d596ecc879710fd4f47","0-44301f82d78c3cc270c85874d9f3f9fc4400338327a057768c64c1b9e328b60b","6-3ae40ebcbf47e96c8a7a493e1300e4bcea85b26d29fd493e43d4e5c391776b4e","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item"
"Air Force Active","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","11","12.1","6","8.9","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","322949cf2d0d36a65fa93b3511c8ec4b98c8c7d018be1d596ecc879710fd4f47","0-afe2c89c25c6082250a277c6e52b3945a6445006ea798f6022d84d1a84809c43","7-d67acda36d3670f40fda77a7ddffee764159a7282c719fe1856a352f081e2603","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item"
"Air Force Active","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","59.17","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","322949cf2d0d36a65fa93b3511c8ec4b98c8c7d018be1d596ecc879710fd4f47","0-6bab8a0f730cc5dfbbe9a68b15d2951d00e0b22e18fb0fd79bb9007a45476c79","8-0975f57ed9a4435c2c49d2072d66e20bc4cef3e1bfe41dafb7a39e45b27b4bf3","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item"
"Air Force Active","0","6.082","0","0.599","0","0.000","0","0.383","0","0.000","0","0.383","0","1.631","0","1.65","0","1.69","0","1.718","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL2-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","322949cf2d0d36a65fa93b3511c8ec4b98c8c7d018be1d596ecc879710fd4f47","0-8f997682f7c26cd9908d8a33a1ebf56a7c6f741805695801a30a73a3f95a563f","9-6f32c3b254f0e4fc01441f667473193dd60357efbe698ad1788137e5db89d19d","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item"
