Name_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_Quantity_BudgetYearTwo_val,Cost_Quantity_BudgetYearThree_val,Cost_Quantity_BudgetYearFour_val,Cost_Quantity_BudgetYearFive_val,Cost_Quantity_BudgetYearOneOCO_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_TotalCost_BudgetYearTwo_val,Cost_TotalCost_BudgetYearThree_val,Cost_TotalCost_BudgetYearFour_val,Cost_TotalCost_BudgetYearFive_val,Cost_TotalCost_BudgetYearOneOCO_val,@SOURCE_FILENAME,@RECORDID,@ROWID,ModsOutYearDelta_Quantity_BudgetYearTwo_val,ModsOutYearDelta_Quantity_BudgetYearThree_val,ModsOutYearDelta_Quantity_BudgetYearFour_val,ModsOutYearDelta_Quantity_BudgetYearFive_val,ModsOutYearDelta_Cost_BudgetYearTwo_val,ModsOutYearDelta_Cost_BudgetYearThree_val,ModsOutYearDelta_Cost_BudgetYearFour_val,ModsOutYearDelta_Cost_BudgetYearFive_val,@PARENTROWID,@PARENT
"Air Force Active","120","218","12","12","","","","","","47.328","36.495","14.008","14.008","0.000","0.000","0.000","0.000","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","ab24aeee4deca78fe05b6f16858aa897de172a7dd7c1e525a1c8f0d3ad0962fa","0-f80d31074a1341511893d6af4c9caa91c53ca3e74e34ca306464bf8906f9c81d","","","","","","","","","1704-496cdb20bf1cba6ea049378c95fbe9ca14cecd409ad3136af252609244f743ee","root"
"Air National Guard","8","5","1","1","","","","","","2.398","0.248","0.528","0.528","0.000","0.000","0.000","0.000","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","ab24aeee4deca78fe05b6f16858aa897de172a7dd7c1e525a1c8f0d3ad0962fa","1-b7a240c2cefadeeb860a4421d3ae62d216188c220f32e7b53cc77e80973b5d98","","","","","","","","","1704-496cdb20bf1cba6ea049378c95fbe9ca14cecd409ad3136af252609244f743ee","root"
"Air Force Reserve","3","8","","","","","","","","0.899","0.397","0.000","0.000","0.000","0.000","0.000","0.000","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","ab24aeee4deca78fe05b6f16858aa897de172a7dd7c1e525a1c8f0d3ad0962fa","2-d3c6122eac6e905346883cb1d7fd50df24cab68caa9cdbbb5a14f58d4e9f736b","","","","","","","","","1704-496cdb20bf1cba6ea049378c95fbe9ca14cecd409ad3136af252609244f743ee","root"
"Air Force Active","","","","","","","","","","76.131","17.019","23.865","23.865","35.619","51.285","43.875","113.871","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","64acb54550a4560598d7d665ce51dd7ecd276be3097259da048227510b8c8d9d","0-896510d17e4c1e6057631eeb57f934d444f15dcdb82a303376f3a666a7a8b05f","","","","","","","","","1729-37b9842605fb1199bd26cd5f32f32bdd95b1ec5791b301b163e07acb091c771f","root"
"Air National Guard","","","","","","","","","","","","0.000","0.000","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","64acb54550a4560598d7d665ce51dd7ecd276be3097259da048227510b8c8d9d","1-9bd59a9a2040b6aad9c16e9f1d18d226d518a76c4e282bcadc7efdcaf2d97758","","","","","","","","","1729-37b9842605fb1199bd26cd5f32f32bdd95b1ec5791b301b163e07acb091c771f","root"
"Air Force Reserve","","","","","","","","","","0.000","0.000","0.000","0.000","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","64acb54550a4560598d7d665ce51dd7ecd276be3097259da048227510b8c8d9d","2-cb1ec31df590679d8f9de844ff82c1b208417b8441212d39c7252cf5a5687b20","","","","","","","","","1729-37b9842605fb1199bd26cd5f32f32bdd95b1ec5791b301b163e07acb091c771f","root"
"Air Force Active","","","","","","","","","","6.958","0.956","14.731","14.731","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","b8767409fbe18f979daf324b822c3fc717f2bfd9a9a8e2c0e9528e4bdde4d803","0-fe103bbf990aeb8f10353c87f7b87fc40924375e4ddab62e020d55cd0cc335bf","","","","","","","","","1731-54ed6d19d5ebbe4e4888175e0b297b56f3a24b60072d6fb29de22cbe6ead742c","root"
"Air National Guard","","","","","","","","","","0.000","","0.000","0.000","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","b8767409fbe18f979daf324b822c3fc717f2bfd9a9a8e2c0e9528e4bdde4d803","1-29b5dead42bd642f1680504b5c62ded2537cf2333845fa68ddce9db2945a5f68","","","","","","","","","1731-54ed6d19d5ebbe4e4888175e0b297b56f3a24b60072d6fb29de22cbe6ead742c","root"
"Air Force Reserve","","","","","","","","","","0.000","","0.000","0.000","","","","","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","b8767409fbe18f979daf324b822c3fc717f2bfd9a9a8e2c0e9528e4bdde4d803","2-710b874f44b1a66cd6d4815f69e8eb2c3e8cf76187c4c3aa3a22e697d15da8d6","","","","","","","","","1731-54ed6d19d5ebbe4e4888175e0b297b56f3a24b60072d6fb29de22cbe6ead742c","root"
"Air Force Active","","","","","","","","","","675.472","251.552","77.236","77.236","0.000","0.000","0.000","0.000","","2015-BASE_PROCUREMENT-2015-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_JustificationBook_Air_Force_PB_2015.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2015.xml","e049539817dd22b34918c2c0be8271bbbd79d6b6a486234ddff8e6be076c0e3d","0-b260436643cf2e1f1f10d2d4a07c7cf45c0691865197016f14fde0d4201ef818","","","","","","","","","1732-33cd41ab74bf0b5aa57b5c1ddadb6814fe3f036396eb1ad2b8d93f41ed3cc528","root"
