FiscalYear_val,PCOLocation_val,AwardDate_val,FirstDeliveryDate_val,Quantity_val,UnitCost_val,SpecsAvailableNow_val,RFPIssueDate_val,ContractMethod_val,ContractType_val,@SOURCE_FILENAME,@RECORDID,@ROWID,ItemNameSuffix_val,OCO_val,@PARENTROWID,@PARENT
"2011","AFMC/AAC","2011-12","2013-04","195","0.039","true","2011-05","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","101c78e8b718e2eb490a6e9385e8f4fb9a2e42c27419ef92c73bc89bb4fcd89c","0-e8a03ca3f990f3f09c43b0de0cd55da19852784413892a4810c99326709f4507","","","1-d9d9ffca31a3c8a1c13c15ed317a61dcdab429083907b5ec593f76983ed8db11","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2012","AFMC/AAC","2012-08","2013-11","121","0.040","true","2012-01","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","101c78e8b718e2eb490a6e9385e8f4fb9a2e42c27419ef92c73bc89bb4fcd89c","1-039b011ce014d30189c660d61bf7f8578716becb8b03d2d541f0768b8e52cf1a","","","1-d9d9ffca31a3c8a1c13c15ed317a61dcdab429083907b5ec593f76983ed8db11","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2013","AFMC/AAC","2013-08","2014-11","116","0.040","true","2013-01","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","101c78e8b718e2eb490a6e9385e8f4fb9a2e42c27419ef92c73bc89bb4fcd89c","2-a70ba23440a0ada7f6c34de24ac6b2a2fe727d35768193972cfe14c8808b3f34","","","1-d9d9ffca31a3c8a1c13c15ed317a61dcdab429083907b5ec593f76983ed8db11","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2014","AFMC/AAC","2014-08","2015-11","147","0.041","true","2014-01","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","101c78e8b718e2eb490a6e9385e8f4fb9a2e42c27419ef92c73bc89bb4fcd89c","3-054413abd3931e721d7a2428fcf92b34c3da3e772cee358aa63c479eb927adb8","","","1-d9d9ffca31a3c8a1c13c15ed317a61dcdab429083907b5ec593f76983ed8db11","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2015","AFMC/AAC","2015-08","2016-11","146","0.042","true","2015-01","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","101c78e8b718e2eb490a6e9385e8f4fb9a2e42c27419ef92c73bc89bb4fcd89c","4-d9d9f61d77a0a9be02ac34dbf260305505dc0dc5cfe18d09eecab2785f3ec049","","","1-d9d9ffca31a3c8a1c13c15ed317a61dcdab429083907b5ec593f76983ed8db11","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2016","AFMC/AAC","2016-08","2017-11","146","0.042","true","2016-01","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","101c78e8b718e2eb490a6e9385e8f4fb9a2e42c27419ef92c73bc89bb4fcd89c","5-571771173e042f3220684a508ddc3bb918d412ee4f63bc208929218a2ff73959","","","1-d9d9ffca31a3c8a1c13c15ed317a61dcdab429083907b5ec593f76983ed8db11","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2017","AFMC/AAC","2017-08","2018-11","145","0.043","true","2017-01","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","101c78e8b718e2eb490a6e9385e8f4fb9a2e42c27419ef92c73bc89bb4fcd89c","6-77ce5968e55d6a926358e7be06ce71e3beed5afc65d21a5f9cb1d7d4595a3b92","","","1-d9d9ffca31a3c8a1c13c15ed317a61dcdab429083907b5ec593f76983ed8db11","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2011","AFMC/AAC","2011-12","2013-04","195","0.039","true","2011-05","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","fb847c5d73ff209ee22672c491cfdc55c0254d39afb27400c3e8a3828a2ae363","0-7f292dd396556e01a54a975b48d3494b65b94b878cd0fc4541125586ae48f142","","","1-82c3f7fa41cd86f882f10db110911909b63d69d391d103360e5e6394ab5e5a92","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2012","AFMC/AAC","2012-08","2013-11","121","0.040","true","2012-01","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","fb847c5d73ff209ee22672c491cfdc55c0254d39afb27400c3e8a3828a2ae363","1-fbb48bb0efdd69c417b599f91ac68d25f5de16b6a9acc8877a1a617c22290ec3","","","1-82c3f7fa41cd86f882f10db110911909b63d69d391d103360e5e6394ab5e5a92","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
"2013","AFMC/AAC","2013-08","2014-11","116","0.040","true","2013-01","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AMMUNITION-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","fb847c5d73ff209ee22672c491cfdc55c0254d39afb27400c3e8a3828a2ae363","2-8ca7740bf60e4172cc02cebaa8915844d86851c569606b79b82ab2efad061dc7","","","1-82c3f7fa41cd86f882f10db110911909b63d69d391d103360e5e6394ab5e5a92","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement"
