@SOURCE_FILENAME,@RECORDID,@ROWID,Name_val,CategorySubtotal_TotalCost_AllPriorYears_val,CategorySubtotal_TotalCost_PriorYear_val,CategorySubtotal_TotalCost_CurrentYear_val,CategorySubtotal_TotalCost_BudgetYearOneBase_val,CategorySubtotal_TotalCost_BudgetYearOne_val,CategorySubtotal_TotalCost_BudgetYearTwo_val,CategorySubtotal_TotalCost_BudgetYearThree_val,CategorySubtotal_TotalCost_BudgetYearFour_val,CategorySubtotal_TotalCost_BudgetYearFive_val,CategorySubtotal_TotalCost_ToComplete_val,CategorySubtotal_TotalCost_Total_val,CategorySubtotal_TotalCost_BudgetYearOneOCO_val,CategorySubtotal_TotalCost_Continuing_val,@PARENTROWID,@PARENT
"2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4de017c8a6b1f21ad1881a036f0f0a946d219eb4b7f9e377640bfdf5e6f81956","0-04bd9acdce9ededd0e57d40f147162d48f72743347287c8e9103e56e254a4544","","","","","","","","","","","","","","","0-06c388ecba98a7be25c7765c425841fe99598202280a97dc7fa52f59975b1f14","root.record.ItemExhibitList.P5Item"
"2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","b57571c483b3fcd1a6d6430d5d46dae98dbdba9565ada34187b6b95fc5a6c4a2","0-a240292dcf8109ff56f26d1dc3fc0f397d12180f870a604b13a69aaa0557ff96","","","","","","","","","","","","","","","0-5b3c6727fa9a59a12fb1603dcbd938ccd6c891bb39212f923923e01608efc6bd","root.record.ItemExhibitList.P5Item"
"2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","6787e60dffa4ccb6e457ea20751b023bee38aa100c51939df4dd2ccac1b7caaf","0-8f024f3758ae346bbef275683cf298defc7404a433c09337530b3db3d67aa60d","","","","","","","","","","","","","","","0-044e19e5bbfef22a9d9391f039d8d6e255877ebbf99c0a044eaa5b7aaa4e58ad","root.record.ItemExhibitList.P5Item"
"2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","bfdabf527f48532a8740392e6b05da334e26e2174a17e75f7a4c2087918e6fc3","0-ea776e5b51f7e7004408a86f29d7203283e3036cd3c67c654974eb977f96d84b","","","","","","","","","","","","","","","0-df0b5e542ba280f9d082abaefa587034a3ba7d5aba6582cce22c2d374305a647","root.record.ItemExhibitList.P5Item"
"2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","00dee9f9f028e4545b5a6df47348a8edc35f51591d1ce4be329e8688687f60ed","0-67f6ba142a27b4d9d40934085ed87d31980040333660d3422ca6df0c11fd39e8","","","","","","","","","","","","","","","0-d03cce666df83cab4fc71d46f9ade885fb1d9e34759c62c48c07d2e0ed53bbd5","root.record.ItemExhibitList.P5Item"
"2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","a8f75288ce0b7460de0552003c541050c721835977c7e3ce933de372fd6e6219","0-79f0a5e4ab0ce2a0e75624b835fa2c679238adbbc2f43c1b1e6cb539c5399f61","","","","","","","","","","","","","","","0-1f8c1b51a3fc9f4afc9ac401aa57c734d4a0d204544ecf925305ffa60fbc72b0","root.record.ItemExhibitList.P5Item"
"2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","5dbc797a8bb1004bf62febab688b9f7b2ddae5f46406112d4d314e7258725cb4","0-0fcac3a4e63f3ea0f337a8847306e0806c96d9d9f1f50ab35e43a7372b4fe4c7","","","","","","","","","","","","","","","0-abf3e33ac329f60979d259fc46908eab31818fa75591a8d4de42999f20d293ea","root.record.ItemExhibitList.P5Item"
"2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","d87ff1349a2afa0530115e71e74e75420508912b147eafb32ac740f56c0fb6d2","0-ac1b955da7456d8845ff5e639840dde92c131a04f20531db71d898ac4fa297ab","","","","","","","","","","","","","","","0-da23f6a14f57d11dcd8ba3c82800bdc460ade4eae26266a351d4895505b735e6","root.record.ItemExhibitList.P5Item"
"2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","c0491524c760947c7a3f1c04126b188c85f6969aa9993f72815cbc68476a603e","0-a7423e09632a17a91328371022ccc824e8a3fb603de79084aaa6cd346b206c59","","","","","","","","","","","","","","","0-269cb2356d4df73ce84578227715ba752aa9a96387634f501860e08c1102b334","root.record.ItemExhibitList.P5Item"
"2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","3fab636ee97e8719a52f4857f8f7bfa4ec804f46ab5ef5c2d895509c2c34c0d0","0-5a27bd619c267f84738038290f8a8ac4318dd6cc41663f03c851cc117e46a3ba","","","","","","","","","","","","","","","0-830a44af3a1bb3ad182b1080d5cbdb1eccdd68e302ed63992984a10e3335a4d3","root.record.ItemExhibitList.P5Item"
