BudgetActivityNumber_val,BudgetActivityTitle_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"6","Aircraft Spares and Repair Parts","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","0d7556ab101308376f0ddf866361ebf2704225a34f7366de025c767e4ff3d573","0-f05bee75ac8a0ad5d8c3ad989730b8c4701f00424f23280fb8635e7822d50b44","72-158ee34cd42b708dd80a65efbf238c7782b6c5676157907243319bbdba6952bb","root"
"6","Aircraft Spares and Repair Parts","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","4732ea5cf34846c21570674238063f0602443a3cd405a7d623c991782d5dfafa","0-d1b5c01dcd2329395ec0a0f4ab8fa591856637660db6019711654bd584d022d2","170-b0f0ab10631f84176d81accb594775382802c8773e875ab1cb0fd7f22d0e6469","root"
"4","Spares and Repair Parts","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","753f891e1e825dcd8618285785ad06960bc166d30adb2a0b6bd27ee1cd8dbfc1","0-bd3486f073c40658e05628a4dfc7fe90e8cec7a9688275982bc3684b2b64b198","323-597094895c5abc0027dbbea42e155360744317cd47751a9686c63a42e4c7018d","root"
"4","Spares and Repair Parts","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","e5e916380019ca5320fd8c7359e69680d69a091e65552434d9e404847cde73c4","0-43bf7437ade255a33b0cf006733ec83fdb9526d25aa390ff556c443878d57d9b","349-aa4a7f0780fca5823c18c4ee16487410408a098069970ba34a7b68fdf6cc326f","root"
"5","Spares and Repair Parts","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","04e3d258e1b8fa540d497c80a618b4e5021a56c762e2f67a223fc685e270e0c3","0-1d9339c6f485394a8db25cf87535a74af0878032ee39228250e8100c3b7f0d56","430-5e3eef2fb41edc31a6063d18771496b3a49d07b5a0e8f9e3cc24ea4cb708a83c","root"
"5","Spares and Repair Parts","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","80eef9747d14f016ffd186173826f9ee83572053b22a84c633f3191851476470","0-e793e15d7157980ffda9cad6ab823ee6152e0519968ee5f01085464458f92449","494-c44b1abdd4a16739a3375fdb361b31950a943f114a9f6f303cce269cc3b7522b","root"
"6","Aircraft Spares and Repair Parts","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","4eda90172438c556906afc72d6d1dbfc65e816bda947995b35869f7f844a7c1d","0-a06a89a455cfd9457cf41798e844eb08b7fa84942c76d0b6b67c3da85c946e4b","681-f9ebc79762ea99e4fb924a03f79e5285c3ee91a14962473671a836da75b7f3b9","root"
"6","Aircraft Spares and Repair Parts","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL2-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","1b06aea64c046ab54792c4ebe69cdff728ba82af37a0d7f5aa43c29edd9204f7","0-1b0aeb386877a51fd81b6c374533da953963fb20e2d0809a4d88adcd88052474","728-af1f4ca03b5bde4830868145c19fd4c6e3aa6d6d5963f2e65b5de76d89165d2f","root"
"6","Aircraft Spares and Repair Parts","2014-BASE_PROCUREMENT-2014-AIRFORCE_AIRCRAFT_VOL1-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","b51508433f47e93199dfa968bbc4304e5b78a931a656c35dfef02d1b0c8ceae1","0-23191005f05f327307b22b9047772fddffe2cde707b87a57da9fbff31cae9b8b","775-03deb954552e6da368f11ab8e2ce31eded10f9f010529ecb9abf891d2b9346c8","root"
"4","Spares and Repair Parts","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","eb76aa25aa2250f63038a2459490458fd839f2d0088630d9ea793bca093bea93","0-2a769be9278cd8b9af2c645d78e4fbf2c75fb5cf7b731875effeed6610460e93","929-e2f6f789f3c6d69fdc72464a0a547ae53af9cfb5440af2cd638c89838f5896e5","root"
