Date_val,Title_val,Description_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"2011-08","None","N/A","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","6fd0d80652405d1c4c115522e3cad83d269b24ec5d21b49eb913aec2e1e78caa","0-cc0817661276d0d74a71d0e77e714c4a7a6056e3e7e842c00628071a3249e066","0-5e6432fcba31ba65ef8dffdf7983a3a58826e600083059163a5879edc5f1f80f","root.record.ItemExhibitList.P3AModificationItemGroup"
"2011-05","Final ARL M Conversion Delivered","Completed","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","751e1eab37f7c2935fa70f90e810f46c424cb7977105414cc92aa6ada1be28e2","0-3af2b49eb5fd9938ff8c6fca740636dd3f92799eab1fd9eb242c44d0c4f846fd","0-9cfbdd0e4a0901ac48e5961ff2e8be0a2f4f6cc3424d9a49cb2a949145f105a4","root.record.ItemExhibitList.P3AModificationItemGroup"
"2010-12","CASUP Milestone B","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","db9943f04312bd69dd280ce164840cd749a05ff29d4b2bc5dbd990ec03a411a7","0-ded825f9cce3b778c8dcf1effaf0d20e85559beb482c2492453b70087dc5f747","0-45ecc32659b5f96af2973963a19732e30da142dfa938dca408b658688f373f6a","root.record.ItemExhibitList.P3AModificationItemGroup"
"2015-02","CASUP Milestone C","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","db9943f04312bd69dd280ce164840cd749a05ff29d4b2bc5dbd990ec03a411a7","1-207f72a86f40d0242887c459b97d6345ce4044fa7be36d351c818db39eb9fb0b","0-45ecc32659b5f96af2973963a19732e30da142dfa938dca408b658688f373f6a","root.record.ItemExhibitList.P3AModificationItemGroup"
"2016-08","CASUP First Unit Equipped (FUE)","","2013-BASE_PROCUREMENT-2013-ARMY_AIRCRAFT-JustificationBook_Army_PB_2013.zzz_unzipped-JustificationBook_Army_PB_2013.xml","db9943f04312bd69dd280ce164840cd749a05ff29d4b2bc5dbd990ec03a411a7","2-40348860bc657a72041b818064459cabf8c55fad3080b505552077772ea04cad","0-45ecc32659b5f96af2973963a19732e30da142dfa938dca408b658688f373f6a","root.record.ItemExhibitList.P3AModificationItemGroup"
"2012-08","None","N/A","2014-BASE_PROCUREMENT-2014-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","0ae185e7db4d5429bafafaff71038911031edaffadcde7e94fb8396a44813402","0-ae4e1369e17077884eca283fcd8f69d31010c277cb4347ef0e485f584b58640b","0-919bb2010744113e7b7fe001b2f9c781bef3e58362906d4b638d0e4273a78fc7","root.record.ItemExhibitList.P3AModificationItemGroup"
"2011-05","Final ARL C to M Conversion Delivered","Completed","2014-BASE_PROCUREMENT-2014-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","c6e6f87a26727287ce4ae1aa951c83f7fe41131db8b5c018561bbd2bc1d68c07","0-d6253557dc67edb45cbae6a82063b8610c3554de4f8d70106aa25e94ec146405","0-06a188f9a8e3d3092bcbd50d0fe8595db07542630d2bb8e3dfa83012f08d55d6","root.record.ItemExhibitList.P3AModificationItemGroup"
"2010-12","CASUP Milestone B","","2014-BASE_PROCUREMENT-2014-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","58186a016111e79f4df64148a27b495ba89a257ac6ecfb1f9f78fdf77b2fe65f","0-c5be71c003ecb2321f688dfd3a09b860a6e6b2749443173eef6c2c38fe046466","0-d85431da59ed6042a604bbc48f14b6f989c0b9b1dd466aa368dcade4355f7819","root.record.ItemExhibitList.P3AModificationItemGroup"
"2015-03","CASUP Milestone C","","2014-BASE_PROCUREMENT-2014-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","58186a016111e79f4df64148a27b495ba89a257ac6ecfb1f9f78fdf77b2fe65f","1-b21ba6d03d4bbd5cb7f9543d3782b0010d866742aa89af657fc8aa639c90d337","0-d85431da59ed6042a604bbc48f14b6f989c0b9b1dd466aa368dcade4355f7819","root.record.ItemExhibitList.P3AModificationItemGroup"
"2016-09","CASUP First Unit Equipped (FUE)","","2014-BASE_PROCUREMENT-2014-ARMY_AIRCRAFT-PROCUREMENT_JustificationBook_Army_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Army_PB_2014.xml","58186a016111e79f4df64148a27b495ba89a257ac6ecfb1f9f78fdf77b2fe65f","2-9163e6dfce317e05ddceef4663ead7e0d88e74a3ede7c27fae853a34651cd229","0-d85431da59ed6042a604bbc48f14b6f989c0b9b1dd466aa368dcade4355f7819","root.record.ItemExhibitList.P3AModificationItemGroup"
