ServiceAgencyName_val,ProcQuantity_val,AcceptedBeforeOct1_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"Army","1995","0","2014-BASE_PROCUREMENT-2014-DEFENSE_CBDP-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2014.xml","97d306f3e37f2906a5001bc7c82dbaa23baf8de90825e377097cc280fffa115b","0-68c962bec61eb25ad1ed83ccae900b6a2508490dac1862537789135c7569cbf3","0-e08c743e5f5d0d0d546de78925fe901ba9c08cfcd40d8513c3e8776e10ab088e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Marine Corps","1340","0","2014-BASE_PROCUREMENT-2014-DEFENSE_CBDP-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2014.xml","97d306f3e37f2906a5001bc7c82dbaa23baf8de90825e377097cc280fffa115b","1-b23532473fc7736f94500234b7cbe62525cce895716ffcb974159737aed481be","0-e08c743e5f5d0d0d546de78925fe901ba9c08cfcd40d8513c3e8776e10ab088e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Navy","665","0","2014-BASE_PROCUREMENT-2014-DEFENSE_CBDP-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2014.xml","97d306f3e37f2906a5001bc7c82dbaa23baf8de90825e377097cc280fffa115b","2-b8ccfb3b9ce05575b295af946ab72c6eb8a1eea742e93d8cc0669909ae7729fa","0-e08c743e5f5d0d0d546de78925fe901ba9c08cfcd40d8513c3e8776e10ab088e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Army","2495","0","2014-BASE_PROCUREMENT-2014-DEFENSE_CBDP-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2014.xml","97d306f3e37f2906a5001bc7c82dbaa23baf8de90825e377097cc280fffa115b","0-c18782d89331d116c3490bd22ed423ea3c867d320a6dd53bc02e417762b7cb18","1-4bb4dbf6e849ae54f54275b370329dd8b79406f74000dab97ef65c32546a4c67","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Marine Corps","1680","0","2014-BASE_PROCUREMENT-2014-DEFENSE_CBDP-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2014.xml","97d306f3e37f2906a5001bc7c82dbaa23baf8de90825e377097cc280fffa115b","1-e9326c751b6642b687387910532198b2ff30fe309c44908bf85eca7eaee6481e","1-4bb4dbf6e849ae54f54275b370329dd8b79406f74000dab97ef65c32546a4c67","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Navy","825","0","2014-BASE_PROCUREMENT-2014-DEFENSE_CBDP-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2014.xml","97d306f3e37f2906a5001bc7c82dbaa23baf8de90825e377097cc280fffa115b","2-a6535588851e2015c7ba363b4013b9774f2c8d0a66ffc31622cc54afbc255a88","1-4bb4dbf6e849ae54f54275b370329dd8b79406f74000dab97ef65c32546a4c67","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Army","2495","0","2014-BASE_PROCUREMENT-2014-DEFENSE_CBDP-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2014.xml","97d306f3e37f2906a5001bc7c82dbaa23baf8de90825e377097cc280fffa115b","0-e219b19243929d78aa1737bdd0962a2a9bd9b7a2da5372ed8047870c710fc9d1","2-14f8baf7ac5c19f2680f9ec9b1c173c1f9aeaa95c8d53baaeb960e8b4baf0017","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Marine Corps","1680","0","2014-BASE_PROCUREMENT-2014-DEFENSE_CBDP-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2014.xml","97d306f3e37f2906a5001bc7c82dbaa23baf8de90825e377097cc280fffa115b","1-fdeaba00a498089b5ede00fb5b2355da1c95e9a718ac30de0f3dda4b565d7a7c","2-14f8baf7ac5c19f2680f9ec9b1c173c1f9aeaa95c8d53baaeb960e8b4baf0017","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Navy","825","0","2014-BASE_PROCUREMENT-2014-DEFENSE_CBDP-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2014.xml","97d306f3e37f2906a5001bc7c82dbaa23baf8de90825e377097cc280fffa115b","2-b43efcdeea98989c999670c3329075cd1c03865ab152f8ba7b214cb31d8a546e","2-14f8baf7ac5c19f2680f9ec9b1c173c1f9aeaa95c8d53baaeb960e8b4baf0017","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
"Army","3485","0","2014-BASE_PROCUREMENT-2014-DEFENSE_CBDP-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Chemical_and_Biological_Defense_Program_PB_2014.xml","97d306f3e37f2906a5001bc7c82dbaa23baf8de90825e377097cc280fffa115b","0-a1c64bf766294087b4db2c30d80c181ca682db2deac0ccb33735cbe1b2af5a83","0-4a6dcca89ae49d1c2f6836624efb99c1df84a223ec0711b826a5041a5674c9f9","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning"
