Name_val,Location_val,MinimumSustainingRate_val,MaximumProductionRate_val,Rate185_val,InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val,InitialQuantity_AdminLeadTimeAfterOct1InMonths_val,InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val,InitialQuantity_TotalLeadTimeAfterOct1InMonths_val,ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val,ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val,ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val,ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"United Launch Alliance (ULA)","CO","4","10","10","1","0","0","0","1","1","25","26","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","8b85eb0d0f9d135685fb9ddd37378f4e4b83141bb343dc95a96c33fa3bcdf18d","0-32844a7e189a6921791bf6ff68beb1256ffc92354dcc1232183556ebf2354fe8","0-40eadb5bae88848403081b352c104e4b0f6260ae030b7786f22f3fbc026a4505","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement"
"United Launch Alliance (ULA)","CO","4","10","10","1","0","0","0","1","1","25","26","2013-BASE_PROCUREMENT-2013-AIRFORCE_MISSILE-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","d10fbc086dd24d31f215c1abc02d7f81f52a1aa0dd3e06f1f6d0611fde3447ec","0-b094c980a92edaa66b8415a640ee3823230a1ef23ce2276ecbec4adf4012a58e","0-3d1d0cd999c6dc84cb465ecdbc68aed92a6b1a7978398f00d73349fe2e42c21f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement"
"United Launch Alliance (ULA)","CO","4.00","10.00","10.00","1","0","0","0","1","1","25","26","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","68ea63f1b14499493039407eb06bfa2f6b465ded3e4359e8517cedd6dfa14364","0-31d3152ab7aea2fbda58c2824d8984dd38197e7517be5e2eaa268e1bd52ec438","0-0ad72f1e16ed0c3a879116bdfdae15fc96501c384f4e5b59ebb5c561a6cb55ec","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement"
"United Launch Alliance (ULA)/SpaceX","CO/CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","68ea63f1b14499493039407eb06bfa2f6b465ded3e4359e8517cedd6dfa14364","1-24bd2756cc307412064f13fc963834781c1811a5b6edaa5ed201ca00385b8cfc","0-0ad72f1e16ed0c3a879116bdfdae15fc96501c384f4e5b59ebb5c561a6cb55ec","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement"
"United Launch Alliance (ULA)/New Entrant","CO/TBD","4.00","10.00","10.00","1","0","0","0","1","1","25","26","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","68ea63f1b14499493039407eb06bfa2f6b465ded3e4359e8517cedd6dfa14364","2-4579dcbc13a3fc8c0c4fbdc20665a47863e194614001ba5cefdaeabbbfe04b4b","0-0ad72f1e16ed0c3a879116bdfdae15fc96501c384f4e5b59ebb5c561a6cb55ec","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement"
"TBD","TBD","4.00","10.00","10.00","1","0","0","0","1","1","25","26","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_JustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_JustificationBook_Air_Force_PB_2014.xml","68ea63f1b14499493039407eb06bfa2f6b465ded3e4359e8517cedd6dfa14364","3-e72aefe8c4ae0687de73fd7a8156b65e1307d58a7fef58aa0d78e7c0f32612f8","0-0ad72f1e16ed0c3a879116bdfdae15fc96501c384f4e5b59ebb5c561a6cb55ec","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement"
"United Launch Alliance (ULA)","CO","4.00","10.00","10.00","1","0","0","0","1","1","25","26","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","e628ef6da8da11143b41e85d0575946b1eab2d1b8e7c19d89d4f124b7c2b2e32","0-e5f91ff10f6e9f3d54d803d044c1ede30c0a1e0c4c2bc232df9b97399ecc07d8","0-7274f0897e41b06be5e8d7c6c573b6b5ec62b1dea7840aedcee5a20114c35db3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement"
"United Launch Alliance (ULA)/SpaceX","CO/CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","e628ef6da8da11143b41e85d0575946b1eab2d1b8e7c19d89d4f124b7c2b2e32","1-618c73de099b9ab82540835e5b787c6b6c1a654b25e0b492b3972ee54a6b0a39","0-7274f0897e41b06be5e8d7c6c573b6b5ec62b1dea7840aedcee5a20114c35db3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement"
"United Launch Alliance (ULA)/New Entrant","CO/TBD","4.00","10.00","10.00","1","0","0","0","1","1","25","26","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","e628ef6da8da11143b41e85d0575946b1eab2d1b8e7c19d89d4f124b7c2b2e32","2-d83c8816ce17df00bf6a152f4a004b13ac5c1bdd3faa7f036f9f17c1fc33aac1","0-7274f0897e41b06be5e8d7c6c573b6b5ec62b1dea7840aedcee5a20114c35db3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement"
"TBD","TBD","4.00","10.00","10.00","1","0","0","0","1","1","25","26","2014-BASE_PROCUREMENT-2014-AIRFORCE_MISSILE-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.zzz_unzipped-PROCUREMENT_MasterJustificationBook_Air_Force_PB_2014.xml","e628ef6da8da11143b41e85d0575946b1eab2d1b8e7c19d89d4f124b7c2b2e32","3-b753fdfdf611cdde522933503b54967d8e6a905bfdbae96d4f16f0dbce106e34","0-7274f0897e41b06be5e8d7c6c573b6b5ec62b1dea7840aedcee5a20114c35db3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement"
