Recurring_CategorySubtotal_TotalCost_PriorYear_val,Recurring_CategorySubtotal_TotalCost_CurrentYear_val,Recurring_CategorySubtotal_TotalCost_BudgetYearOneBase_val,Recurring_CategorySubtotal_TotalCost_BudgetYearOne_val,Recurring_CategorySubtotal_TotalCost_AllPriorYears_val,Recurring_CategorySubtotal_TotalCost_BudgetYearTwo_val,Recurring_CategorySubtotal_TotalCost_BudgetYearThree_val,Recurring_CategorySubtotal_TotalCost_BudgetYearFour_val,Recurring_CategorySubtotal_TotalCost_BudgetYearFive_val,Recurring_CategorySubtotal_TotalCost_ToComplete_val,Recurring_CategorySubtotal_TotalCost_Total_val,Recurring_CategorySubtotal_TotalCost_BudgetYearOneOCO_val,Recurring_CategorySubtotal_TotalCost_Continuing_val,@SOURCE_FILENAME,@RECORDID,@ROWID,NonRecurring_CostElementList_CostElement,NonRecurring_CategorySubtotal_TotalCost_AllPriorYears_val,NonRecurring_CategorySubtotal_TotalCost_ToComplete_val,NonRecurring_CategorySubtotal_TotalCost_Total_val,NonRecurring_CategorySubtotal_TotalCost_PriorYear_val,NonRecurring_CategorySubtotal_TotalCost_CurrentYear_val,NonRecurring_CategorySubtotal_TotalCost_BudgetYearOneBase_val,NonRecurring_CategorySubtotal_TotalCost_BudgetYearOne_val,NonRecurring_CategorySubtotal_TotalCost_BudgetYearTwo_val,NonRecurring_CategorySubtotal_TotalCost_BudgetYearThree_val,NonRecurring_CategorySubtotal_TotalCost_BudgetYearFour_val,NonRecurring_CategorySubtotal_TotalCost_BudgetYearFive_val,NonRecurring_CategorySubtotal_TotalCost_BudgetYearOneOCO_val,NonRecurring_CategorySubtotal_TotalCost_Continuing_val,Name_val,CategorySubtotal_TotalCost_PriorYear_val,CategorySubtotal_TotalCost_CurrentYear_val,CategorySubtotal_TotalCost_BudgetYearOneBase_val,CategorySubtotal_TotalCost_BudgetYearOne_val,CategorySubtotal_TotalCost_AllPriorYears_val,CategorySubtotal_TotalCost_BudgetYearTwo_val,CategorySubtotal_TotalCost_BudgetYearThree_val,CategorySubtotal_TotalCost_BudgetYearFour_val,CategorySubtotal_TotalCost_BudgetYearFive_val,CategorySubtotal_TotalCost_ToComplete_val,CategorySubtotal_TotalCost_Total_val,CategorySubtotal_TotalCost_BudgetYearOneOCO_val,CategorySubtotal_TotalCost_Continuing_val,@PARENTROWID,@PARENT
"","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","4de017c8a6b1f21ad1881a036f0f0a946d219eb4b7f9e377640bfdf5e6f81956","0-b7930d336cf3effd037bb630ed78fb590b1fedf5b4c5955b67ae1a2081e93138","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0-06c388ecba98a7be25c7765c425841fe99598202280a97dc7fa52f59975b1f14","root.record.ItemExhibitList.P5Item"
"","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","a8f75288ce0b7460de0552003c541050c721835977c7e3ce933de372fd6e6219","0-82638c7ce4cb797cdeb6fcf2ba546f52d4d71b25a29f7f5159578461ad1f96c9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0-1f8c1b51a3fc9f4afc9ac401aa57c734d4a0d204544ecf925305ffa60fbc72b0","root.record.ItemExhibitList.P5Item"
"","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","c0491524c760947c7a3f1c04126b188c85f6969aa9993f72815cbc68476a603e","0-6583ea3392e1b3a2129a30e7d35fb4dfc6579cb9f40a0b01457c7e9ab459dd63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0-269cb2356d4df73ce84578227715ba752aa9a96387634f501860e08c1102b334","root.record.ItemExhibitList.P5Item"
"","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","3fab636ee97e8719a52f4857f8f7bfa4ec804f46ab5ef5c2d895509c2c34c0d0","0-44722d3faf518fbb6f2aa16a8f5e5767174f40c38366f22047f0a9c19dd248b9","","","","","","","","","","","","","","","","","","","","","","","","","","","","0-830a44af3a1bb3ad182b1080d5cbdb1eccdd68e302ed63992984a10e3335a4d3","root.record.ItemExhibitList.P5Item"
"","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","f91bb0eaec14b11654bb7470bdb8dd674cc6d331264ea5d8d30e080a2b92f183","0-e17bf084d8e198c4b931f7a8fb52340c00835b69a3625f1a85dc34f9955ad18e","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0-46250454de1845f10850b055887793c9bb8e5e6a009eba81be1e2af599fe9467","root.record.ItemExhibitList.P5Item"
"","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","265d10d2759abe8087cc91f96f2c6c094666298b59da4fb95e8d598cea4fcaac","0-b46f915d40eb4e00fb30b5d0ea9d1ad2025a527ffc4f831dc1e1dc766c69e289","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0-f20481881c4c4f61a3944f4adf481afcb1f1140734f82e6c0f8d311ee895fff6","root.record.ItemExhibitList.P5Item"
"","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","151cbabc5cab50e7685c243072d83b061ce0acd1f753dc40f1d47d3fbff117f7","0-fd15a2aef361c544c3a74982336cb908f13ddc31752535351812d0f92aa5eaa2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0-adb2310b84d5a1ef0f081c896297bb2f60b1c8367901f00bab0592cdcf15bb7f","root.record.ItemExhibitList.P5Item"
"","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","d0ba0f78d606148c657387c9866eb5e31e8dd73a0d50c2749f4ddea76d67aadd","0-08fa9b04195187ee9eeb9ea4861dace33a8207dd48eb6e50662537be362be267","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0-b927cc1f8e1ac891493b907cabac25614727e8e00bb253fe602f4ebac2aefd08","root.record.ItemExhibitList.P5Item"
"","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","5fa7bcacf347205de432fa2308f58d4d9a9fa804eec5f6c4e090c4cc71b649d7","0-806053c9f252f007cbc5db11b8325dba81f05cbc083741c38b600a67f074ba81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0-64db0d9fd33519e6f5fb16cfbc5c164a924789580e7a38fb51aea4e234adb2cc","root.record.ItemExhibitList.P5Item"
"","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","620fbb0b98027694dc11a2a28a5c7115996b0a7a5f383c743233ef3260cec03d","0-5c4f8aa9dd06ee978f1799fbf0199cf38d78e2b17658bd2465f2ba1cb3905362","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0-2295d5f407a9c51fbd86b8e22fe458b60bf5e8da1db694cf4371d0b19edcf1cd","root.record.ItemExhibitList.P5Item"
