FiscalYear_val,FiscalYear_@footnote,PCOLocation_val,AwardDate_val,FirstDeliveryDate_val,Quantity_val,UnitCost_val,UnitCost_@footnote,SpecsAvailableNow_val,ContractMethod_val,ContractType_val,@SOURCE_FILENAME,@RECORDID,@ROWID,RFPIssueDate_val,FundingVehicle_val,OCO_val,RevisionsAvailableDate_val,MonthlyDeliveryScheduleList_MonthlyDeliverySchedule,ItemNameSuffix_val,MonthlyDeliveryScheduleTotal_ProcQuantity_val,MonthlyDeliveryScheduleTotal_MonthlyDeliveryList_MonthlyDelivery,@PARENTROWID,@PARENT
"2011","","AFMC/WR-ALC","2011-03","2012-06","1","13.380","","true","C","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","620fbb0b98027694dc11a2a28a5c7115996b0a7a5f383c743233ef3260cec03d","0-f7fdd534543b0fe3848e21b18f7c9d03834a02adbf7a5e00086a4fa1eb0eee52","","","","","","","","","0-f9a0e2ad676caceaaaa6eeb31fb89f87a8f343eb20d4245446014226777ae701","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
"2012","","AFMC/WR-ALC","2012-04","2013-09","4","0.471","","true","C","TBD","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","620fbb0b98027694dc11a2a28a5c7115996b0a7a5f383c743233ef3260cec03d","0-e4dc8bed45425ceda0a3750926dc945a467cf2da6ca53ad96001ed6e982081e0","","","","","","","","","0-e387691abee4aeccc5574dd73ffd6ae346b8f3c5dff90d4cf8de2709e5f6e2e3","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
"2013","","AFMC/WR-ALC","2013-01","2014-06","4","0.471","","true","C","BA","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","620fbb0b98027694dc11a2a28a5c7115996b0a7a5f383c743233ef3260cec03d","1-9410d9a3e73bd21a2917c096930b972a8892203a216249ba63a3a505e2534dfa","","","","","","","","","0-e387691abee4aeccc5574dd73ffd6ae346b8f3c5dff90d4cf8de2709e5f6e2e3","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
"2012","","AFMC/OO-ALC","2012-06","2013-06","26","0.279","","true","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","620fbb0b98027694dc11a2a28a5c7115996b0a7a5f383c743233ef3260cec03d","0-a8118df0afcc0840279876283f2dd230f04d941456343d0f226791fcd5ab015a","","","","","","","","","0-dd891f409c2c935a2519705455c91fe54aa922df750f33829b59043d12554dcd","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
"2013","","AFMC/OO-ALC","2013-06","2014-06","25","0.282","","true","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","620fbb0b98027694dc11a2a28a5c7115996b0a7a5f383c743233ef3260cec03d","1-eebd6b14485f4d411f58002dac15c12d8d431638fdaaef4dfd1749cd293e8aae","","","","","","","","","0-dd891f409c2c935a2519705455c91fe54aa922df750f33829b59043d12554dcd","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
"2012","","AFMC/OO-ALC","2012-04","2013-10","5","2.540","","true","C","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","620fbb0b98027694dc11a2a28a5c7115996b0a7a5f383c743233ef3260cec03d","0-bee53b1b1d67cbfb6df7134e32d9cb968c9b7d9545cc123a709550e9b3040818","","","","","","","","","0-75f05c36cb3788ddb9d6f28405eb74b40de597abfb362539fb9c980499ce059a","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
"2013","","AFMC/OO-ALC","2013-04","2014-10","3","2.600","","true","C","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","620fbb0b98027694dc11a2a28a5c7115996b0a7a5f383c743233ef3260cec03d","1-4f9574fdc704a6f7294667beb58d8afc05c91387dab8f52567352d062a2b8ec0","","","","","","","","","0-75f05c36cb3788ddb9d6f28405eb74b40de597abfb362539fb9c980499ce059a","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
"2012","","AFMC/OO-ALC","2012-04","2013-10","1","9.500","","true","C","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","620fbb0b98027694dc11a2a28a5c7115996b0a7a5f383c743233ef3260cec03d","0-1d5201c9e0c4db40725880889e0fe1c067b43cb4c784ca7898c5fbec95bae22e","2011-11","","","","","","","","0-c1a15c2bf788cd296c82a48faeda1d3ee438bb31d087621693c1a35eba1b673e","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
"2011","","AFMC/WR-ALC","2010-12","2012-09","10","0.480","","true","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","620fbb0b98027694dc11a2a28a5c7115996b0a7a5f383c743233ef3260cec03d","0-2ea68874e6c8eebbf9607e4f91fd711ac6d68a0245c221ca4aa1f1c7d9e878a6","","","","","","","","","0-e318b47847a9f3983c7fa336f6a5d17d70072088551882fefdb637a19333930c","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
"2011","","AFMC/WR-ALC","2010-12","2013-06","16","0.363","","true","SS","FFP","2013-BASE_PROCUREMENT-2013-AIRFORCE_AIRCRAFT_VOL1-JustificationBook_Air_Force_PB_2013.zzz_unzipped-JustificationBook_Air_Force_PB_2013.xml","620fbb0b98027694dc11a2a28a5c7115996b0a7a5f383c743233ef3260cec03d","0-6fa984799e8bd33165e9e6b42e799d20bd0c4263506ba8dfcecce6f81ad57b64","","","","","","","","","0-43b11c1476cfa1040255df951707dda41df49828bea515d744ccfa239428599e","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item.ManufacturerList.Manufacturer"
